order_date,order_number,order_warehouse_id,store_id,order_status,item_id,amount_per_unit,ordered_quantity,item_discount,expected_delivery_date
14/02/2023,23045429724,9,pY85faVkR6OCPZQ0CefuH,CLOSED,P437048134760065132,281,1,0,15/02/2023
19/02/2023,23050463841,21,6FTIDJ65jt1arkhJm2bbmL,CLOSED,P5801744203932,75,10,0,20/02/2023
20/02/2023,23051024482,4,7JQvKYYMMCSzfni42DKw5a,CLOSED,P810622842427393343,5420,1,0,21/02/2023
06/02/2023,23037635371,4,6tjBYLZoWt70PUXokHPEit,CANCELLED,P957287950450245066,2600,50,0,07/02/2023
15/02/2023,23046508076,15,1w0FMk0J5K43sIqSZv9b5t,CLOSED,P862686710671848219,85,15,0,16/02/2023
21/02/2023,23052532574,12,3vwcvHtu7PrSUMxtG00pvx,CLOSED,P633024961236486666,4250,1,0,22/02/2023
12/02/2023,23043044604,8,3UGFKpnFuVDvxDGPgIgN2K,CLOSED,P313898182537862889,102,18,36,13/02/2023
12/02/2023,23043044604,8,3UGFKpnFuVDvxDGPgIgN2K,CLOSED,P905670013511056600,102,18,36,13/02/2023
26/02/2023,23057110587,21,4nT0iSKFr10HcjJIO6GuV3,CLOSED,P954493217287166262,161,10,0,27/02/2023
16/02/2023,23047727084,12,3iYnhucmLDizO25yOGGkTt,CLOSED,P141216907728180636,159,120,600,18/02/2023
16/02/2023,23047876928,21,QgrLuw6qNbZYCEoecPRC0,CLOSED,P846989106104101761,90,2,0,18/02/2023
07/02/2023,23038601968,8,1XZQ79ARym52JkfRHmrAOD,CLOSED,P012045854707616558,4825,20,3500,08/02/2023
21/02/2023,23052630883,3,5FVfKwN52Lic7AEklS8cvD,CLOSED,P268800550723355818,235,3,0,22/02/2023
21/02/2023,23052630883,3,5FVfKwN52Lic7AEklS8cvD,CLOSED,P068822302078217811,210,1,7,22/02/2023
21/02/2023,23052630883,50,5FVfKwN52Lic7AEklS8cvD,CLOSED,P711809575459533894,310,6,18,22/02/2023
21/02/2023,23052630883,3,5FVfKwN52Lic7AEklS8cvD,CLOSED,P5631859556508,350,1,5,22/02/2023
21/02/2023,23052630883,3,5FVfKwN52Lic7AEklS8cvD,CLOSED,P179445720318255818,157,1,4,22/02/2023
11/02/2023,23042655256,3,f0UeGCpCrCp4rOJ8VG2zb,CLOSED,P214645276698993470,890,2,0,13/02/2023
24/02/2023,23055104790,3,3Yfq5wh9brz7gjHw289S9U,CLOSED,P452357738437275214,260,5,0,25/02/2023
24/02/2023,23055104790,3,3Yfq5wh9brz7gjHw289S9U,CLOSED,P681701962351020612,389,6,0,25/02/2023
24/02/2023,23055104790,3,3Yfq5wh9brz7gjHw289S9U,CLOSED,P027242707736547668,219,25,0,25/02/2023
22/02/2023,23053581424,3,7LCbErpviiq7gOeVaCokzJ,CLOSED,P5620416086172,320,3,0,23/02/2023
06/02/2023,23037401105,8,4oLCKbZylVhLtSnHpR0PaG,CLOSED,P203419074517259139,1420,2,0,07/02/2023
10/02/2023,23041933203,50,7c7P6AW59Kk43OkQRyv8Tq,CLOSED,P237203843298675588,202,2,0,11/02/2023
10/02/2023,23041933203,3,7c7P6AW59Kk43OkQRyv8Tq,CLOSED,P585111827600698941,116,2,0,11/02/2023
17/02/2023,23048144398,3,2MoMuQwlYKw8bVJSvx6711,CLOSED,P947821399439191120,86,4,0,18/02/2023
17/02/2023,23048144398,3,2MoMuQwlYKw8bVJSvx6711,CLOSED,P5631859556508,350,3,15,18/02/2023
04/02/2023,23035983700,9,1wZ90Vbxsis8WWPnS5yxFD,CLOSED,P601375612855706685,320,8,0,06/02/2023
04/02/2023,23035983700,9,1wZ90Vbxsis8WWPnS5yxFD,CLOSED,P527567420284894567,165,3,0,06/02/2023
04/02/2023,23035983700,9,1wZ90Vbxsis8WWPnS5yxFD,CLOSED,P017773421927290029,160,6,0,06/02/2023
23/02/2023,23054863115,9,7JsIB3JI0B6PBizyBgNUgZ,CANCELLED,P004417753709336102,5370,2,0,25/02/2023
23/02/2023,23054863115,9,7JsIB3JI0B6PBizyBgNUgZ,CANCELLED,P895543545536922360,253,3,0,25/02/2023
15/02/2023,23046018636,9,1lt4Mu2ipEhNI6Fge8PtrQ,CLOSED,P764745086518087385,6074,1,0,16/02/2023
15/02/2023,23046018636,9,1lt4Mu2ipEhNI6Fge8PtrQ,CLOSED,P363255272335880690,179,20,0,16/02/2023
17/02/2023,23048465129,3,37eU9IIK5iv1cFy8R5lPi2,CLOSED,P5274528874652,5950,1,0,18/02/2023
17/02/2023,23048465129,3,37eU9IIK5iv1cFy8R5lPi2,CLOSED,P5271677829276,8000,4,0,18/02/2023
17/02/2023,23048465129,3,37eU9IIK5iv1cFy8R5lPi2,CLOSED,P477031500728710824,7450,4,0,18/02/2023
17/02/2023,23048465129,3,37eU9IIK5iv1cFy8R5lPi2,CLOSED,P585111827600698941,131,12,0,18/02/2023
09/02/2023,23040109812,3,7LlQSYUe5fD3BrVoZU6ZZw,CLOSED,P5620416086172,320,4,0,11/02/2023
09/02/2023,23040614226,3,4NhFbxxNZUlc40bduzk8o1,CLOSED,P5646495645852,680,3,0,10/02/2023
20/02/2023,23051618261,2,1i7dSm4bEEYHcwSajjoyCa,CLOSED,P930766375688202259,2940,3,0,21/02/2023
18/02/2023,23049916052,2,4vBaiPpsYkTWN7onCejUyP,CLOSED,P510597221483309850,405,1,0,20/02/2023
18/02/2023,23049916052,2,4vBaiPpsYkTWN7onCejUyP,CLOSED,P087898865302058742,2360,2,0,20/02/2023
24/02/2023,23055455860,11,3VXgaVMnFIjTn8TbcgnHlq,CLOSED,P5919296553116,1412,2,0,25/02/2023
04/02/2023,23035050805,11,5ypEZYLCGKIUVFwOK75log,CANCELLED,P429408978516086528,1655.5,2,0,06/02/2023
19/02/2023,23050089870,11,nfFobCnmKSo9ftvMRmlsv,CLOSED,P5636991156380,706,2,0,20/02/2023
19/02/2023,23050089870,11,nfFobCnmKSo9ftvMRmlsv,CLOSED,P417547047924949473,699,2,0,20/02/2023
09/02/2023,23040933116,15,5xULEjLlk0vTP23UXvy8T4,CLOSED,P919132872075776614,2540,8,0,10/02/2023
22/02/2023,23053784938,2,6TdRIShQbQ7HujH11mEYoj,CLOSED,P5904807559324,995,5,50,23/02/2023
22/02/2023,23053784938,2,6TdRIShQbQ7HujH11mEYoj,CLOSED,P050732763332810694,395,6,0,23/02/2023
22/02/2023,23053784938,2,6TdRIShQbQ7HujH11mEYoj,CLOSED,P5631859720348,300,6,0,23/02/2023
05/02/2023,23036442870,9,2CP8x2Fl037kJ0Lh9v7LyK,CANCELLED,P218808347485061827,82,10,0,06/02/2023
15/02/2023,23046508076,15,1w0FMk0J5K43sIqSZv9b5t,CLOSED,P249975121528162827,103,12,0,16/02/2023
15/02/2023,23046508076,15,1w0FMk0J5K43sIqSZv9b5t,CLOSED,P151921757839643803,85,9,0,16/02/2023
21/02/2023,23052532574,12,3vwcvHtu7PrSUMxtG00pvx,CLOSED,P441106098401049041,303,1,0,22/02/2023
21/02/2023,23052532574,12,3vwcvHtu7PrSUMxtG00pvx,CLOSED,P087898865302058742,2450,1,0,22/02/2023
21/02/2023,23052249436,3,4QdrBB7gcR4nQidto8LX8U,CLOSED,P510597221483309850,406,2,0,22/02/2023
26/02/2023,23057110587,21,4nT0iSKFr10HcjJIO6GuV3,CLOSED,P323647673331674655,219,3,6,27/02/2023
09/02/2023,23040188861,3,1VqcpyfQGrJ4DtneEMKSXV,CLOSED,P881311747325487679,148,1000,1000,11/02/2023
21/02/2023,23052630883,3,5FVfKwN52Lic7AEklS8cvD,CLOSED,P602800325506283514,210,1,7,22/02/2023
20/02/2023,23051503238,8,1m36hcYUz7eFhfEDppdQOl,CLOSED,P154916167304767322,3300,1,0,21/02/2023
11/02/2023,23042655256,3,f0UeGCpCrCp4rOJ8VG2zb,CLOSED,P881311747325487679,152,6,24,13/02/2023
24/02/2023,23055104790,3,3Yfq5wh9brz7gjHw289S9U,CLOSED,P977555014644702849,7350,1,0,25/02/2023
24/02/2023,23055104790,3,3Yfq5wh9brz7gjHw289S9U,CLOSED,P5508876140700,79,12,36,25/02/2023
24/02/2023,23055104790,3,3Yfq5wh9brz7gjHw289S9U,CLOSED,P893320149702184085,19,24,0,25/02/2023
16/02/2023,23047614611,5,1BXMUtN5Tkd3caNIlubirO,CLOSED,P881311747325487679,152,5,0,17/02/2023
21/02/2023,23052824286,2,AwpXFxCNBdL5ATpXTie4g,CLOSED,P881311747325487679,153,2,2,22/02/2023
17/02/2023,23048299884,2,3.96E+12,CLOSED,P5904807559324,995,2,20,18/02/2023
06/02/2023,23037077986,2,4.17E+12,CLOSED,P544845278602121277,630,2,20,07/02/2023
06/02/2023,23037077986,2,4.17E+12,CLOSED,P890752154929110740,220,2,0,07/02/2023
01/02/2023,23032756344,5,630j9V753ezbNn1Y8zTm0B,CLOSED,P5889758036124,3800,1,0,02/02/2023
08/02/2023,23039195157,5,3oNtgZOiPym1NIhTsxZU5F,CLOSED,P799105563405663934,120,1,5,10/02/2023
20/02/2023,23051989740,2,7CIS4OxOIimwbo7ElDu3ra,CLOSED,P5904807559324,995,3,15,22/02/2023
10/02/2023,23041018248,2,w9uLxyM4wNCmJbWb29D0Z,CLOSED,P5904807559324,995,5,0,11/02/2023
10/02/2023,23041018248,2,w9uLxyM4wNCmJbWb29D0Z,CLOSED,P533435029955177850,251,4,20,11/02/2023
10/02/2023,23041967454,2,5Fo1QxG0hQ5QUAnf9T3SsN,CLOSED,P881311747325487679,152,3,12,11/02/2023
10/02/2023,23041967454,2,5Fo1QxG0hQ5QUAnf9T3SsN,CLOSED,P154916167304767322,3275,1,0,11/02/2023
10/02/2023,23041967454,2,5Fo1QxG0hQ5QUAnf9T3SsN,CLOSED,P510597221483309850,403,1,0,11/02/2023
10/02/2023,23041967454,2,5Fo1QxG0hQ5QUAnf9T3SsN,CLOSED,P156211722957779746,74,3,0,11/02/2023
05/02/2023,23036265925,2,6HEvbEzF3K1C30aODVWMDt,CLOSED,P930766375688202259,2850,2,0,06/02/2023
13/02/2023,23044656457,11,68yZoug3pQMXMpx9geil6G,CLOSED,P968032959918955055,1340,3,0,14/02/2023
13/02/2023,23044656457,11,68yZoug3pQMXMpx9geil6G,CLOSED,P5919286657180,2850,4,0,14/02/2023
13/02/2023,23044656457,11,68yZoug3pQMXMpx9geil6G,CLOSED,P556656092334263917,2930,7,0,14/02/2023
13/02/2023,23044656457,11,68yZoug3pQMXMpx9geil6G,CLOSED,P5523409502364,2665,11,0,14/02/2023
04/02/2023,23035404222,11,3qvEKKtlf4m9ksg1ADpYC,CLOSED,P429408978516086528,1655.5,1,0,06/02/2023
28/02/2023,23059463420,17,72nbcD4qfrySbsv8R2SQHd,CLOSED,P143908426277328360,4927,1,0,01/03/2023
22/02/2023,23053327922,12,3Y7YCrT14uPV8YYn59Gqkz,CLOSED,P087898865302058742,2450,40,4400,23/02/2023
09/02/2023,23040943982,2,4.13E+12,CLOSED,P847079315110381744,157,6,0,10/02/2023
01/02/2023,23032027219,2,2a9CAL7FrawB7DMzqSf3Ro,CLOSED,P510597221483309850,411,2,0,02/02/2023
24/02/2023,23055831130,2,R5nYIodmu36Xo2Pwby3WZ,CLOSED,P5636991156380,830,2,0,25/02/2023
24/02/2023,23055831130,2,R5nYIodmu36Xo2Pwby3WZ,CLOSED,P5805357170844,535,1,0,25/02/2023
24/02/2023,23055831130,2,R5nYIodmu36Xo2Pwby3WZ,CLOSED,P5801751019676,535,2,0,25/02/2023
